Model,R2,RMSE,MAE,DA,Correct,Test_N,Up_DA,Down_DA,Pred_Up_Ratio
Zero-return Baseline,-0.267687327840501,0.06189727747554816,0.04837855811742054,0.0,0,58,0.0,0.0,0.0
Train-mean Baseline,-0.2591231816637287,0.061687842682175746,0.048220388275192864,67.24137931034483,39,58,100.0,0.0,100.0
Price-only Baseline,-0.2613247401523302,0.06174174927461049,0.047954922158955936,60.3448275862069,35,58,53.84615384615385,73.68421052631578,44.827586206896555
Price-only Baseline (No Bitcoin),-0.26440803639201826,0.061817166770612796,0.04835853100513604,56.896551724137936,33,58,64.1025641025641,42.10526315789473,62.06896551724138
Model A-1 (ATR 단일 심리 proxy),-0.26208782955617593,0.06176042303456694,0.0479719020961773,62.06896551724138,36,58,56.41025641025641,73.68421052631578,46.55172413793103
Model A-2 (MFI 단일 심리 proxy),-0.2643883461165175,0.06181668543794638,0.04801934667209513,62.06896551724138,36,58,58.97435897435898,68.42105263157895,50.0
Model A-3 (Stochastic 단일 심리 proxy),-0.2613247401523302,0.06174174927461049,0.047954922158955936,60.3448275862069,35,58,53.84615384615385,73.68421052631578,44.827586206896555
Model B (PC1 통합 심리 proxy),-0.2613247401523302,0.06174174927461049,0.047954922158955936,60.3448275862069,35,58,53.84615384615385,73.68421052631578,44.827586206896555
Model C (잔차 3개 심리 proxy),-0.26635873445487124,0.06186483340603116,0.04800623404151543,60.3448275862069,35,58,56.41025641025641,68.42105263157895,48.275862068965516
Model D (PC1 + 잔차 3개 심리 proxy),-0.26635873445487124,0.06186483340603116,0.04800623404151543,60.3448275862069,35,58,56.41025641025641,68.42105263157895,48.275862068965516
