Period,Model,Weeks,Correct,DA,Up_DA,Down_DA,Pred_Up_Ratio
2025-03-26 ~ 2025-06-11,Zero-return Baseline,12,0,0.0,0.0,0.0,0.0
2025-03-26 ~ 2025-06-11,Train-mean Baseline,12,6,50.0,100.0,0.0,100.0
2025-03-26 ~ 2025-06-11,Price-only Baseline,12,8,66.66666666666666,83.33333333333334,50.0,66.66666666666666
2025-03-26 ~ 2025-06-11,Price-only Baseline (No Bitcoin),12,7,58.333333333333336,66.66666666666666,50.0,58.333333333333336
2025-03-26 ~ 2025-06-11,Model A-1 (ATR 단일 심리 proxy),12,9,75.0,100.0,50.0,75.0
2025-03-26 ~ 2025-06-11,Model A-2 (MFI 단일 심리 proxy),12,7,58.333333333333336,83.33333333333334,33.33333333333333,75.0
2025-03-26 ~ 2025-06-11,Model A-3 (Stochastic 단일 심리 proxy),12,8,66.66666666666666,83.33333333333334,50.0,66.66666666666666
2025-03-26 ~ 2025-06-11,Model B (PC1 통합 심리 proxy),12,8,66.66666666666666,83.33333333333334,50.0,66.66666666666666
2025-03-26 ~ 2025-06-11,Model C (잔차 3개 심리 proxy),12,7,58.333333333333336,83.33333333333334,33.33333333333333,75.0
2025-03-26 ~ 2025-06-11,Model D (PC1 + 잔차 3개 심리 proxy),12,7,58.333333333333336,83.33333333333334,33.33333333333333,75.0
2025-06-18 ~ 2025-09-03,Zero-return Baseline,12,0,0.0,0.0,0.0,0.0
2025-06-18 ~ 2025-09-03,Train-mean Baseline,12,8,66.66666666666666,100.0,0.0,100.0
2025-06-18 ~ 2025-09-03,Price-only Baseline,12,8,66.66666666666666,50.0,100.0,33.33333333333333
2025-06-18 ~ 2025-09-03,Price-only Baseline (No Bitcoin),12,6,50.0,62.5,25.0,66.66666666666666
2025-06-18 ~ 2025-09-03,Model A-1 (ATR 단일 심리 proxy),12,8,66.66666666666666,50.0,100.0,33.33333333333333
2025-06-18 ~ 2025-09-03,Model A-2 (MFI 단일 심리 proxy),12,10,83.33333333333334,75.0,100.0,50.0
2025-06-18 ~ 2025-09-03,Model A-3 (Stochastic 단일 심리 proxy),12,8,66.66666666666666,50.0,100.0,33.33333333333333
2025-06-18 ~ 2025-09-03,Model B (PC1 통합 심리 proxy),12,8,66.66666666666666,50.0,100.0,33.33333333333333
2025-06-18 ~ 2025-09-03,Model C (잔차 3개 심리 proxy),12,10,83.33333333333334,75.0,100.0,50.0
2025-06-18 ~ 2025-09-03,Model D (PC1 + 잔차 3개 심리 proxy),12,10,83.33333333333334,75.0,100.0,50.0
2025-09-10 ~ 2025-11-26,Zero-return Baseline,12,0,0.0,0.0,0.0,0.0
2025-09-10 ~ 2025-11-26,Train-mean Baseline,12,9,75.0,100.0,0.0,100.0
2025-09-10 ~ 2025-11-26,Price-only Baseline,12,8,66.66666666666666,55.55555555555556,100.0,41.66666666666667
2025-09-10 ~ 2025-11-26,Price-only Baseline (No Bitcoin),12,7,58.333333333333336,55.55555555555556,66.66666666666666,50.0
2025-09-10 ~ 2025-11-26,Model A-1 (ATR 단일 심리 proxy),12,8,66.66666666666666,55.55555555555556,100.0,41.66666666666667
